abstract_text,target_text,generated_text
"In 2015, Zika virus (ZIKV; Flaviviridae; Flavivirus) emerged in the Americas, causing millions of infections in dozens of countries. The rapid spread of the virus and the association with disease outcomes such as Guillain-Barre syndrome and microcephaly make understanding transmission dynamics essential. Currently, there are no reports of vector competence (VC) of American mosquitoes for ZIKV isolates from the Americas. Further, it is not clear whether ZIKV strains from other genetic lineages can be transmitted by American Aedes aegypti populations, and whether the scope of the current epidemic is in part facilitated by viral factors such as enhanced replicative fitness or increased vector competence. Therefore, we characterized replication of three ZIKV strains, one from each of the three phylogenetic clades in several cell lines and assessed their abilities to be transmitted by Ae. aegypti mosquitoes. Additionally, laboratory colonies of different Culex spp. were infected with an American outbreak strain of ZIKV to assess VC. Replication rates were variable and depended on virus strain, cell line and MOI. African strains used in this study outcompeted the American strain in vitro in both mammalian and mosquito cell culture. West and East African strains of ZIKV tested here were more efficiently transmitted by Ae. aegypti from Mexico than was the currently circulating American strain of the Asian lineage. Long-established laboratory colonies of Culex mosquitoes were not efficient ZIKV vectors. These data demonstrate the capacity for additional ZIKV strains to infect and replicate in American Aedes mosquitoes and suggest that neither enhanced virus replicative fitness nor virus adaptation to local vector mosquitoes seems likely to explain the extent and intensity of ZIKV transmission in the Americas.","The mechanisms contributing to the explosive nature of the current ZIKV outbreak in the Americas are poorly understood. Therefore, we characterized the replication of three strains, one from each phylogenetic clade of ZIKV and evaluated virus strain differences in transmission efficiency by American mosquitoes. Our results suggest that the strain currently circulating in the Americas does not have unusually high infectivity for American Ae. aegypti as compared to the African strains used in this study. Colonized Culex mosquitoes were inefficient vectors. In vitro data suggested slower replication and decreased fitness for the currently circulating American strain compared to African strains isolated decades ago. Therefore, viral adaptation to local mosquitoes does not appear, at present, to be driving the current ZIKV outbreak in the Americas.","we characterized replication of three ZIKV strains, one from each of the three phylogenetic clades in several cell lines and assessed their ability to be transmitted by American Aedes aegypti mosquitoes . furthermore, laboratory colonies of different Culex spp. were infected with an American outbreak strain of Zika virus (Zika virus; Flaviviridae; Flavivirus) to assess vector competence (VC) . a total of 3 strains of ZIkV tested here were more efficiently transmitted by the American strain in vitro in both mammalian and mosquito cell culture than was the currently "
"Most epigenome-wide association studies (EWAS) quantify DNA methylation (DNAm) in peripheral tissues such as whole blood to identify positions in the genome where variation is statistically associated with a trait or exposure. As whole blood comprises a mix of cell types, it is unclear whether trait-associated DNAm variation is specific to an individual cellular population. We collected three peripheral tissues (whole blood, buccal epithelial and nasal epithelial cells) from thirty individuals. Whole blood samples were subsequently processed using fluorescence-activated cell sorting (FACS) to purify five constituent cell-types (monocytes, granulocytes, CD4+ T cells, CD8+ T cells, and B cells) . DNAm was profiled in all eight sample-types from each individual using the Illumina EPIC array. We identified significant differences in both the level and variability of DNAm between different sample types, and DNAm data-derived estimates of age and smoking were found to differ dramatically across sample types from the same individual. We found that for the majority of loci variation in DNAm in individual blood cell types was only weakly predictive of variance in DNAm measured in whole blood, although the proportion of variance explained was greater than that explained by either buccal or nasal epithelial samples. Covariation across sample types was much higher for DNAm sites influenced by genetic factors. Overall, we observe that DNAm variation in whole blood is additively influenced by a combination of the major blood cell types. For a subset of sites, however, variable DNAm detected in whole blood can be attributed to variation in a single blood cell type providing potential mechanistic insight about EWAS findings. Our results suggest that associations between whole blood DNAm and traits or exposures reflect differences in multiple cell types and our data will facilitate the interpretation of findings in epigenetic epidemiology.","As epigenetic variation is cell-type specific, an ongoing challenge in epigenetic epidemiology is how to interpret studies performed using bulk tissue ( for example, whole blood) which comprises a mix of different cell types. In this study, we identified major differences in DNA methylation ( DNAm) across multiple peripheral tissues and different blood cell types, with each sample type being characterized by a unique signature across multiple genomic loci. We demonstrate how these differences influence commonly used prediction scores derived from DNAm data for age and tobacco smoking, with estimates for the same individual being highly variable across tissues and cell types. Our results enabled us to assess the extent to which variable DNAm in each individual blood cell type relates to variation measured in whole blood. We found that although individual blood cell types predict more of the variation in DNAm in whole blood compared to buccal and nasal epithelial cells, the actual proportion of variance explained is relatively small, except for at sites where DNAm is under genetic control. Our data indicate that for most sites variation in multiple blood cell types additively combines to drive variation in DNAm measured in whole blood. Of note, for a subset of sites, variation in DNAm detected in whole blood can be attributed to a specific blood cell type, potentially facilitating the interpretation of EWAS findings.","epigenome-wide association studies (EWAS) quantify DNA methylation (DNAm) in peripheral tissues such as whole blood to identify positions in the genome where variation is statistically associated with a trait or exposure . we identified significant differences in both the level and variability of DNAm between different sample types , and DNAm data-derived estimates of age and smoking were found to differ dramatically across sample types from the same individual . our results suggest that associations between whole blood DNAm and traits or exposures reflect differences in multiple cell types and our data will facilitate the interpretation of findings in epigenetic epidemiology ."
"Carbon dioxide (CO2) emissions from freshwater ecosystems are almost universally predicted to increase with climate warming. Glacier-fed rivers and lakes, however, differ critically from those in nonglacierized catchments in that they receive little terrestrial input of organic matter for decomposition and CO2 production, and transport large quantities of easily mobilized comminuted sediments available for carbonate and silicate weathering reactions that can consume atmospheric CO2. We used a whole-watershed approach, integrating concepts from glaciology and limnology, to conclusively show that certain glacier-fed freshwater ecosystems are important and previously overlooked annual CO2 sinks due to the overwhelming influence of these weathering reactions. Using the glacierized Lake Hazen watershed (Nunavut, Canada, 82degN) as a model system, we found that weathering reactions in the glacial rivers actively consumed CO2 up to 42 km downstream of glaciers, and cumulatively transformed the High Arctic's most voluminous lake into an important CO2 sink. In conjunction with data collected at other proglacial freshwater sites in Greenland and the Canadian Rockies, we suggest that CO2 consumption in proglacial freshwaters due to glacial melt-enhanced weathering is likely a globally relevant phenomenon, with potentially important implications for regional annual carbon budgets in glacierized watersheds.","Significance Glacier melt is one of the most dramatic consequences of climate change in high-latitude and high-altitude environments. As meltwaters move across poorly consolidated landscapes, they transport vast quantities of highly reactive comminuted sediments prone to chemical weathering reactions that may consume atmospheric CO2. Using a whole watershed approach in the Canadian High Arctic, combined with additional dissolved CO2 measurements in glacial rivers in Greenland and the Canadian Rockies, we show that certain glacier-fed freshwater ecosystems are significant and previously unrecognized annual CO2 sinks due to chemical weathering. As many of the world's rivers originate from glacial headwaters, we highlight the potential importance of this process for contemporary regional carbon budgets in rapidly changing high-latitude and high-altitude watersheds.","carbon dioxide (CO2) emissions from freshwater ecosystems are almost universally predicted to increase with climate warming . we used a whole-watershed approach to conclusively show that certain glacier-fed fishes are important and previously overlooked annual CO2 sinks due to the overwhelming influence of these weathering reactions . in conjunction with data collected at other proglacial freshwater sites in Greenland and the Canadian Rockies, we suggest that CO2 consumption in a glacierized lake is likely a globally relevant phenomenon , with potentially important implications for regional annual carbon budgets ."
"Microfluidic water-in-oil droplets that serve as separate, chemically isolated compartments can be applied for single-cell analysis; however, to investigate encapsulated cells effectively over prolonged time periods, an array of droplets must remain stationary on a versatile substrate for optimal cell compatibility. We present here a platform of unique geometry and substrate versatility that generates a stationary nanodroplet array by using wells branching off a main microfluidic channel. These droplets are confined by multiple sides of a nanowell and are in direct contact with a biocompatible substrate of choice. The device is operated by a unique and reversed loading procedure that eliminates the need for fine pressure control or external tubing. Fluorocarbon oil isolates the droplets and provides soluble oxygen for the cells. By using this approach, the metabolic activity of single adherent cells was monitored continuously over time, and the concentration of viable pathogens in blood-derived samples was determined directly by measuring the number of colony-formed droplets. The method is simple to operate, requires a few microliters of reagent volume, is portable, is reusable, and allows for cell retrieval. This technology may be particularly useful for multiplexed assays for which prolonged and simultaneous visual inspection of many isolated single adherent or nonadherent cells is required.","Significance There is a substantial need for single-cell platforms in which each cell is chemically isolated in its own microenvironment and a lack of such platforms that support adherent cells. We present here a method that generates stationary nanoliter droplet arrays on a substrate of choice and supports long-term incubation and interrogation of single cells. We demonstrate the encapsulation of single human dermal fibroblast cells and their substrate attachment, viability, and proliferation, and show they can be retrieved and interfaced to standard cell culturing techniques. We also demonstrate a single-cell metabolic assay and track it over selected groups of indexed traps. The device does not require external equipment or machinery, making it available for point-of-care applications.","we present here a platform of unique geometry and substrate versatility that generates a stationary nanodroplet array by using wells branching off a main microfluidic channel . the device is operated by a unique and reversed loading procedure that eliminates the need for fine pressure control or external tubing . by using this approach, the metabolic activity of single adherent cells was monitored continuously over time , and the concentration of viable pathogens in blood-derived samples was determined directly by measuring the number of colony-formed droplets . this method is simple to operate, requires a few microliters of reagent volume , is portable, is reusable, and allows for cell"
"Fluoroquinolones are the most commonly used group of antimicrobials for the treatment of enteric fever, but no direct comparison between two fluoroquinolones has been performed in a large randomised trial. An open-label randomized trial was conducted to investigate whether gatifloxacin is more effective than ofloxacin in the treatment of uncomplicated enteric fever caused by nalidixic acid-resistant Salmonella enterica serovars Typhi and Paratyphi A. Adults and children clinically diagnosed with uncomplicated enteric fever were enrolled in the study to receive gatifloxacin (10 mg/kg/day) in a single dose or ofloxacin (20 mg/kg/day) in two divided doses for 7 days. Patients were followed for six months. The primary outcome was treatment failure in patients infected with nalidixic acid resistant isolates. 627 patients with a median age of 17 (IQR 9-23) years were randomised. Of the 218 patients with culture confirmed enteric fever, 170 patients were infected with nalidixic acid-resistant isolates. In the ofloxacin group, 6 out of 83 patients had treatment failure compared to 5 out of 87 in the gatifloxacin group (hazard ratio [HR] of time to failure 0. 81, 95% CI 0. 25 to 2. 65, p = 0. 73) . The median time to fever clearance was 4. 70 days (IQR 2. 98-5. 90) in the ofloxacin group versus 3. 31 days (IQR 2. 29-4. 75) in the gatifloxacin group (HR = 1. 59, 95% CI 1. 16 to 2. 18, p = 0. 004) . The results in all blood culture-confirmed patients and all randomized patients were comparable. Gatifloxacin was not superior to ofloxacin in preventing failure, but use of gatifloxacin did result in more prompt fever clearance time compared to ofloxacin. Trial registration: ISRCTN 63006567","Enteric fever, which comprises of typhoid and paratyphoid fevers, is common in many developing countries. It is also sometimes seen in the Western world in returning travellers. This present study of uncomplicated enteric fever in an outpatient setting in a hospital in Kathmandu, Nepal compared the newer gatifloxacin with the widely-used ofloxacin ( two drugs of the fluroquinolone class) in the treatment of this illness. Although fluroquinolones are commonly considered the main group of drugs in the treatment of enteric fever, there have not been comparisons of efficacy between two drugs in this same class in the treatment of enteric fever. Furthermore, certain strains of enteric fever organism called nalidixic-acid resistant strains are proving very difficult to treat in both the local population and the Western travellers. The study focused primarily on the efficacy of the 2 drugs against these particular strains. The results revealed that both drugs were effective but gatifloxacin decreased the patient's fever more rapidly than ofloxacin. Dysglycemia was noted in a 35-year-old woman taking gatifloxacin who did not disclose a pre-existing diagnosis of diabetes at time of enrollment, but not in any other healthy child or young adult.","background : fluoroquinolones are the most commonly used group of antimicrobials for the treatment of enteric fever , but no direct comparison between two fluorioquinonones has been performed in a large randomised trial.materials and methods : 627 patients with a median age of 17 (IQR 9-23) years were randomised . the primary outcome was treatment failure in patients infected with nalidixic acid-resistant isolates.results:of the 218 patients with culture confirmed enterica serovars Typhi and Paratyphi A were enrolled in the study to receive gatifloxacin (10"
"Phyllotaxis, the distribution of organs such as leaves and flowers on their support, is a key attribute of plant architecture. The geometric regularity of phyllotaxis has attracted multidisciplinary interest for centuries, resulting in an understanding of the patterns in the model plants Arabidopsis and tomato down to the molecular level. Nevertheless, the iconic example of phyllotaxis, the arrangement of individual florets into spirals in the heads of the daisy family of plants (Asteraceae) , has not been fully explained. We integrate experimental data and computational models to explain phyllotaxis in Gerbera hybrida. We show that phyllotactic patterning in gerbera is governed by changes in the size of the morphogenetically active zone coordinated with the growth of the head. The dynamics of these changes divides the patterning process into three phases: the development of an approximately circular pattern with a Fibonacci number of primordia near the head rim, its gradual transition to a zigzag pattern, and the development of a spiral pattern that fills the head on the template of this zigzag pattern. Fibonacci spiral numbers arise due to the intercalary insertion and lateral displacement of incipient primordia in the first phase. Our results demonstrate the essential role of the growth and active zone dynamics in the patterning of flower heads.","Significance Flower heads, such as those of gerbera or sunflower, comprise hundreds of bracts and florets. They are organized into conspicuous spiral patterns with intriguing mathematical properties: For example, the numbers of left- and right-winding spirals are typically consecutive Fibonacci numbers. We examined auxin reporter lines of gerbera and combined diverse microscopy and modeling techniques to understand how these patterns develop. The critical process is the early patterning of bracts, which emerge in a specific order and guide the placement of the subsequent bracts and florets. This process, controlled by expansion and contraction of the organogenetic zone during head growth, is different from the extensively studied phyllotactic patterning in the model plants Arabidopsis and tomato.","phyllotactic patterning in gerbera hybrida is governed by changes in the size of the morphogenetically active zone coordinated with the growth of the head . the dynamics of these changes divides the patterning process into three phases : the development of an approximately circular pattern with a Fibonacci number of primordia near the head head rim , its gradual transition to a zigzag pattern , and the developing of a spiral pattern that fills the head on the template of this . we demonstrate the essential role of the growth and active zone dynamics in patterning of flower heads ."
"Background This is an update of the original Cochrane review entitled Lamotrigine for acute and chronic pain published in Issue 2, 2007, and updated in Issue 2, 2011. Some antiepileptic medicines have a place in the treatment of neuropathic pain (pain due to nerve damage). This updated review adds no new additional studies looking at evidence for lamotrigine as an effective treatment for chronic neuropathic pain or fibromyalgia. The update uses higher standards of evidence than previously. Objectives To assess the analgesic efficacy of lamotrigine in the treatment of chronic neuropathic pain and fibromyalgia, and to evaluate adverse effects reported in the studies. Search methods We identified randomised controlled trials (RCTs) of lamotrigine for chronic neuropathic pain and fibromyalgia (including cancer pain) from MEDLINE, EMBASE and the Cochrane Central Register of Controlled Trials (CENTRAL). We ran searches for the original review in 2006, in 2011 for the first update, and subsequent searches in August 2013 for this update. We sought additional studies from the reference lists of the retrieved papers. The original review and first update included acute pain, but no acute pain studies were identified. Selection criteria RCTs investigating the use of lamotrigine (any dose, by any route, and for any study duration) for the treatment of chronic neuropathic pain or fibromyalgia. Assessment of pain intensity or pain relief, or both, using validated scales. Participants were adults aged 18 and over. We included only full journal publication articles. Data collection and analysis Two review authors independently extracted efficacy and adverse event data, and examined issues of study quality. We performed analysis using three tiers of evidence. The first tier used data where studies reported the outcome of at least 50% pain reduction from baseline, lasted at least eight weeks, had a parallel group design, included 200 or more participants in the comparison, and reported an intention-to-treat analysis. First-tier studies did not use last observation carried forward (LOCF) or other imputational methods for dropouts. The second tier used data that failed to meet this standard and second-tier results were therefore subject to potential bias. Main results Twelve included studies in 11 publications (1511 participants), all with chronic neuropathic pain: central post-stroke pain (1), chemotherapy-induced neuropathic pain (1), diabetic neuropathy (4), HIV-related neuropathy (2), mixed neuropathic pain (2), spinal cord injury-related pain (1), and trigeminal neuralgia (1). We did not identify any additional studies. Participants were aged between 26 and 77 years. Study duration was two weeks in one study and at least six weeks in the remainder; eight were of eight-week duration or longer. No study provided first-tier evidence for an efficacy outcome. There was no convincing evidence that lamotrigine is effective in treating neuropathic pain and fibromyalgia at doses of 200 mg to 400 mg daily. Almost 10% of participants taking lamotrigine reported a skin rash. Authors' conclusions Large, high-quality, long-duration studies reporting clinically useful levels of pain relief for individual participants provided no convincing evidence that lamotrigine is effective in treating neuropathic pain and fibromyalgia at doses of about 200 to 400 mg daily. Given the availability of more effective treatments including antiepileptics and antidepressant medicines, lamotrigine does not have a significant place in therapy based on the available evidence. The adverse effect profile of lamotrigine is also of concern.","Lamotrigine (an antiepileptic drug) for chronic neuropathic pain or fibromyalgia Neuropathic pain is pain coming from damaged nerves. It is different from pain messages carried along healthy nerves from damaged tissue (a fall, or cut, or arthritic knee). Neuropathic pain is treated by different medicines than pain from damaged tissue. Medicines like paracetamol or ibuprofen are not effective in neuropathic pain, while medicines that are sometimes used to treat depression or epilepsy can be very effective in some people with neuropathic pain. Our understanding of fibromyalgia (a condition of persistent, widespread pain and tenderness, sleep problems, and fatigue) is lacking, but fibromyalgia can respond to the same medicines as neuropathic pain. Lamotrigine is a medicine used to treat epilepsy, and so might be a useful medicine for neuropathic pain or fibromyalgia. On 26 November 2013 we performed searches to look for clinical trials where lamotrigine was used to treat neuropathic pain or fibromyalgia. We found 12 studies of reasonable quality that tested lamotrigine against placebo for a number of weeks. Almost half of the 1511 people in the studies had painful limbs because of damaged nerves caused by diabetes, and seven different painful neuropathic conditions were examined. No studies looked at fibromyalgia. Lamotrigine did not help the pain, and was no different from placebo except in causing more side effects. Adverse events were more frequent with lamotrigine than placebo, with rash in 1 person in 27.","objectiveto assess the analgesic efficacy of lamotrigine in the treatment of chronic neuropathic pain and fibromyalgia, and to evaluate adverse effects reported in the studies.materials and methodswe searched for the original review in 2006, in 2011 for the first update, and subsequent searches in August 2013 for this update.resultswe identified randomised controlled trials (RCTs) investigating the use of the drug (any dose, by any route, and for any study duration) for the treatment (including cancer pain) from MEDLINE, EMBASE and the Cochrane Central Register of Controlled Trials (CENTRAL).research methodswe identified"
"Background The sustained interest in electronic assistive technology in dementia care has been fuelled by the urgent need to develop useful approaches to help support people with dementia at home. Also the low costs and wide availability of electronic devices make it more feasible to use electronic devices for the benefit of disabled persons. Information Communication Technology (ICT) devices designed to support people with dementia are usually referred to as Assistive Technology (AT) or Electronic Assistive Technology (EAT). By using AT in this review we refer to electronic assistive devices. A range of AT devices has been developed to support people with dementia and their carers to manage their daily activities and to enhance safety, for example electronic pill boxes, picture phones, or mobile tracking devices. Many are commercially available. However, the usefulness and user-friendliness of these devices are often poorly evaluated. Although reviews of (electronic) memory aids do exist, a systematic review of studies focusing on the efficacy of AT for memory support in people with dementia is lacking. Such a review would guide people with dementia and their informal and professional carers in selecting appropriate AT devices. Objectives Primary objective To assess the efficacy of AT for memory support in people with dementia in terms of daily performance of personal and instrumental activities of daily living (ADL), level of dependency, and admission to long-term care. Secondary objective To assess the impact of AT on: users (autonomy, usefulness and user-friendliness, adoption of AT); cognitive function and neuropsychiatric symptoms; need for informal and formal care; perceived quality of life; informal carer burden, self-esteem and feelings of competence; formal carer work satisfaction, workload and feelings of competence; and adverse events. Search methods We searched ALOIS, the Specialised Register of the Cochrane Dementia and Cognitive Improvement Group (CDCIG), on 10 November 2016. ALOIS is maintained by the Information Specialists of the CDCIG and contains studies in the areas of dementia prevention, dementia treatment and cognitive enhancement in healthy people. We also searched the following list of databases, adapting the search strategy as necessary: Centre for Reviews and Dissemination (CRD) Databases, up to May 2016; The Collection of Computer Science Bibliographies; DBLP Computer Science Bibliography; HCI Bibliography: Human-Computer Interaction Resources; and AgeInfo, all to June 2016; PiCarta; Inspec; Springer Link Lecture Notes; Social Care Online; and IEEE Computer Society Digital Library, all to October 2016; J-STAGE: Japan Science and Technology Information Aggregator, Electronic; and Networked Computer Science Technical Reference Library (NCSTRL), both to November 2016; Computing Research Repository (CoRR) up to December 2016; and OT seeker; and ADEAR, both to February 2017. In addition, we searched Google Scholar and OpenSIGLE for grey literature. Selection criteria We intended to review randomised controlled trials (RCTs) and clustered randomised trials with blinded assessment of outcomes that evaluated an electronic assistive device used with the single aim of supporting memory function in people diagnosed with dementia. The control interventions could either be 'care (or treatment) as usual' or non-technological psychosocial interventions (including interventions that use non-electronic assistive devices) also specifically aimed at supporting memory. Outcome measures included activities of daily living, level of dependency, clinical and care-related outcomes (for example admission to long-term care), perceived quality of life and well-being, and adverse events resulting from the use of AT; as well as the effects of AT on carers. Data collection and analysis Two review authors independently screened all titles and abstracts identified by the search. Main results We identified no studies which met the inclusion criteria. Authors' conclusions This review highlights the current lack of high-quality evidence to determine whether AT is effective in supporting people with dementia to manage their memory problems.","Assistive technology for memory support in dementia Review question We wanted to find out from a review of the evidence whether Assistive Technology can help people with dementia overcome some of the effects of their memory problems. Background Dementia causes memory problems that make it increasingly difficult to carry out everyday activities, for example cooking, remembering appointments, taking medication. The memory problems experienced can have a large negative impact on people with dementia, and may cause confusion, anxiety, embarrassment, or depression. This decreasing ability to carry out daily activities can cause stress to family carers who worry about the person's safety and well-being. A range of electronic devices -- most commonly referred to as Assistive Technology (AT - used throughout this review), and sometimes as Electronic Assistive Technology (EAT) -- have been developed to support people with dementia. The devices can be divided into four categories offering support with general and personal information (e.g. digital social charts); practical support with problems caused by the symptoms of dementia, especially memory loss (e.g. electronic pill dispenser boxes, electronic diaries); support with social contact and company (e.g. picture phones, interactive 'pet' robots); and support with perceived risks to health and safety (e.g. tracking devices, fall sensors). In this review, we concentrated on devices intended to help people manage their memory problems. We wanted to find our whether AT is effective at helping people who have memory problems due to dementia carry out their daily activities, and whether it makes them less dependent on others, improves their quality of life or has an effect on admission to institutional care. We also wanted to find out if it has any impact on family and paid carers. Study characteristics We searched systematically for all research studies that had evaluated AT by allocating people with dementia at random to an AT device or to 'usual care' or a non-technological solution to support memory and then comparing outcomes. Our search included all the evidence available up to 10 November 2016. Key results We found no studies that met our criteria. Quality of the evidence The review identified a lot of literature on the development of AT, including reports of researchers working with people with dementia and their carers to determine the type and design of AT which might be useful. There was also a lot of guidance written for health professionals and potential users of AT. We found some small studies that had tested the effectiveness of selected AT devices, but the methods used were not of a high enough quality to meet the review criteria. Therefore we cannot be sure at the moment whether or not AT can really help people with dementia manage their memory problems. We believe more research should be done in this area.","purposeto assess the efficacy of assistive technology (AT) for memory support in people with dementia in terms of daily performance of personal and instrumental activities of daily living (ADL) and level of dependency , and admission to long-term care.materials and methodswe searched the Specialised Register of the Cochrane Dementia and Cognitive Improvement Group (CDCIG) on 10 November 2016.resultswe reviewed randomised controlled trials (RCTs) and clustered randomised trials with blinded assessment of outcomes that evaluated an electronic assistive device used with the single aim of supporting memory function in people diagnosed with dementia.conclusionsa systematic review of studies focusing on"
"Once considered a phenotypically monomorphic bacterium, there is a growing body of work demonstrating heterogeneity among Mycobacterium tuberculosis (Mtb) strains in clinically relevant characteristics, including virulence and response to antibiotics. However, the genetic and molecular basis for most phenotypic differences among Mtb strains remains unknown. To investigate the basis of strain variation in Mtb, we performed genome-wide transposon mutagenesis coupled with next-generation sequencing (TnSeq) for a panel of Mtb clinical isolates and the reference strain H37Rv to compare genetic requirements for in vitro growth across these strains. We developed an analytic approach to identify quantitative differences in genetic requirements between these genetically diverse strains, which vary in genomic structure and gene content. Using this methodology, we found differences between strains in their requirements for genes involved in fundamental cellular processes, including redox homeostasis and central carbon metabolism. Among the genes with differential requirements were katG, which encodes the activator of the first-line antitubercular agent isoniazid, and glcB, which encodes malate synthase, the target of a novel small-molecule inhibitor. Differences among strains in their requirement for katG and glcB predicted differences in their response to these antimicrobial agents. Importantly, these strain-specific differences in antibiotic response could not be predicted by genetic variants identified through whole genome sequencing or by gene expression analysis. Our results provide novel insight into the basis of variation among Mtb strains and demonstrate that TnSeq is a scalable method to predict clinically important phenotypic differences among Mtb strains.","Tuberculosis, caused by the bacterium Mycobacterium tuberculosis ( Mtb) , remains a serious global health problem, causing ~1. 5 million deaths a year world-wide. Like other bacterial pathogens, diversity among strains of Mtb contributes to differences in infection outcomes, vaccine efficacy, and response to antibiotic treatment. Currently, the important genetic differences that contribute to variation among Mtb strains remain poorly understood. In this study, we applied a functional genomics technique called TnSeq to a panel of Mtb clinical strains to investigate the genetic basis of strain diversity. We identified a number of genes that are differentially required for growth in culture among these strains. Some of these genes are involved in the response to antibiotics, including the first-line antitubercular agent isoniazid and a novel antitubercular drug currently in development. We found that the genetic differences between strains uncovered by TnSeq predicted responses to these antibiotics. Our results demonstrate the utility of TnSeq for identifying clinically relevant differences among Mtb strains.","mycobacterium tuberculosis ( mtb) is a phenotypically monomorphic bacterium demonstrating heterogeneity in clinically relevant characteristics , including virulence and response to antibiotics . we performed genome-wide transposon mutagenesis coupled with next-generation sequencing (TnSeq) for a panel of Mtb clinical isolates and the reference strain H37Rv to compare genetic requirements for in vitro growth across these strains.methodswe found differences in genetic requirements between these genetically diverse strains in their requirements for genes involved in fundamental cellular processes including redox homeostasis and"
"The human b2-adrenergic receptor (b2AR) , a member of the G-protein coupled receptor (GPCR) family, is expressed in bronchial smooth muscle cells. Upon activation by agonists, b2AR causes bronchodilation and relief in asthma patients. The N-terminal polymorphism of b2AR at the 16th position, Arg16Gly, has warranted a lot of attention since it is linked to variations in response to albuterol (agonist) treatment. Although the b2AR is one of the well-studied GPCRs, the N-terminus which harbors this mutation, is absent in all available experimental structures. The goal of this work was to study the molecular level differences between the N-terminal variants using structural modeling and atomistic molecular dynamics simulations. Our simulations reveal that the N-terminal region of the Arg variant shows greater dynamics than the Gly variant, leading to differential placement. Further, the position and dynamics of the N-terminal region, further, affects the ligand binding-site accessibility. Interestingly, long-range effects are also seen at the ligand binding site, which is marginally larger in the Gly as compared to the Arg variant resulting in the preferential docking of albuterol to the Gly variant. This study thus reveals key differences between the variants providing a molecular framework towards understanding the variable drug response in asthma patients.","The human b2-adrenergic receptor ( b2AR) is an important member of the GPCR family and a mutation at the 16th position, Arg16Gly, is commonly found in the population. This variation in asthma patients is linked to differential ( good/bad) response to the drug albuterol, an agonist of the b2AR. To date, the coordinates of the N-terminal residues harboring the 16th position mutation have not been resolved. In our study we sought to glean insights into the dynamics of the variants that could address the differential response to albuterol. We used knowledge from class A GPCRs to build the N-terminal region of b2AR variants in conjunction with the available structure of the inactive receptor. This was followed by atomistic simulations in triplicate totaling to a sampling of 6 us. We observe that the N-terminal region of the Arg variant is more dynamic than the Gly variant. Amongst the various differences between the variants, we observe long-range effects at the binding site leading to preferential docking of albuterol to the Gly variant. Our work is a first step to unravel the molecular mechanism linking the Arg16Gly variation to the differential response to albuterol in asthma patients.","the human b2-adrenergic receptor (b2AR) , a member of the G-protein coupled receptor (GPCR) family , is expressed in bronchial smooth muscle cells . Upon activation by agonists, b2ar causes bronchodilation and relief in asthma patients . the N-terminus which harbors this mutation is absent in all available experimental structures . this study reveals key differences between the variants providing a molecular framework towards understanding the variable drug response . our simulations reveal that the Arg variant shows greater dynamics than the Gly variant , leading to differential placement . further, the position and dynamics"
